"count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1","count-turtles-in 0 0.2","count-turtles-in 0.2 0.4","count-turtles-in 0.4 0.6","count-turtles-in 0.6 0.8","count-turtles-in 0.8 1.1"
"0","27","73","0","0","0","0","100","0","0","0","29","71","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","5","87","8","0","0","19","81","0","0","0","2","98","0","0","0","9","78","13","0"
"0","25","75","0","0","0","0","100","0","0","0","29","71","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","5","87","8","0","0","17","83","0","0","0","1","99","0","0","0","9","78","13","0"
"0","27","73","0","0","0","0","100","0","0","0","29","71","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","5","88","7","0","0","17","83","0","0","0","1","99","0","0","0","9","78","13","0"
"0","28","72","0","0","0","0","100","0","0","0","28","72","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","4","89","7","0","0","18","82","0","0","0","1","99","0","0","0","9","79","12","0"
"0","27","73","0","0","0","0","100","0","0","0","28","72","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","4","89","7","0","0","18","82","0","0","0","1","99","0","0","0","9","79","12","0"
"0","29","71","0","0","0","0","100","0","0","0","27","73","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","5","88","7","0","0","17","83","0","0","0","0","100","0","0","0","9","79","12","0"
"0","26","74","0","0","0","0","100","0","0","0","27","73","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","5","89","6","0","0","18","82","0","0","0","0","100","0","0","0","9","79","12","0"
"0","26","74","0","0","0","0","100","0","0","0","24","76","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","4","89","7","0","0","17","83","0","0","0","0","100","0","0","0","9","79","12","0"
"0","25","75","0","0","0","0","100","0","0","0","26","74","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","4","89","7","0","0","16","84","0","0","0","0","100","0","0","0","9","80","11","0"
"0","24","76","0","0","0","0","100","0","0","0","24","76","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","4","90","6","0","0","17","83","0","0","0","0","100","0","0","0","9","80","11","0"
"0","24","76","0","0","0","0","100","0","0","0","23","77","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","4","91","5","0","0","15","85","0","0","0","0","100","0","0","0","9","80","11","0"
"0","22","78","0","0","0","0","100","0","0","0","23","77","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","4","91","5","0","0","13","87","0","0","0","0","100","0","0","0","9","80","11","0"
"0","22","78","0","0","0","0","100","0","0","0","23","77","0","0","0","10","90","0","0","0","0","100","0","0","0","0","84","16","0","0","4","91","5","0","0","14","86","0","0","0","0","100","0","0","0","9","80","11","0"
